w1	w2	count	p_cond
,	https://hello.com	1	0.02127660
,	અઠવાડિયામાં	1	0.02127660
,	અથવા	1	0.02127660
,	અમને	1	0.02127660
,	આણંદ	1	0.02127660
,	ઉદાહરણ	1	0.02127660
,	એ	1	0.02127660
,	એમ	1	0.02127660
,	ગાંધીનગર	1	0.02127660
,	ગોધરા	1	0.02127660
,	ચેતનભાઇ	1	0.02127660
,	ચોરી	1	0.02127660
,	જણાવ્યું	1	0.02127660
,	જૂના	1	0.02127660
,	જે	1	0.02127660
,	જ્યાંથી	1	0.02127660
,	તેઓ	1	0.02127660
,	તેને	1	0.02127660
,	તેમાં	1	0.02127660
,	ત્યારે	1	0.02127660
,	ત્રિપુરા	1	0.02127660
,	દિલીપ	1	0.02127660
,	નડિયાદ	1	0.02127660
,	નાગાલેન્ડ	1	0.02127660
,	નેતાઓ	1	0.02127660
,	પંપનું	1	0.02127660
,	પ્રોવિડન્ટ	1	0.02127660
,	પ્લેટ	1	0.02127660
,	બે	1	0.02127660
,	માત્ર	1	0.02127660
,	મિલનભાઇ	1	0.02127660
,	વિનોદ	1	0.02127660
,	વિપક્ષના	1	0.02127660
,	વેરા	1	0.02127660
,	વ્યક્તિગત	1	0.02127660
,	શહેર	1	0.02127660
,	સગર્ભા	1	0.02127660
,	સમજશક્તિ	1	0.02127660
,	સાંજે	1	0.02127660
,	હાલોલ	1	0.02127660
.	48.	1	0.01020408
.	અઠવાડિયાના	1	0.01020408
.	અવાજ	1	0.01020408
.	અહીંયાં	1	0.01020408
.	આઇ	1	0.01020408
.	આબુથી	1	0.01020408
.	આમ	1	0.01020408
.	આરોપી	1	0.01020408
.	આવા	1	0.01020408
.	ઉખાણાઓ	1	0.01020408
.	એલ	1	0.01020408
.	કર્ક	1	0.01020408
.	કાગદડી	1	0.01020408
.	કાર	1	0.01020408
.	કારણ	1	0.01020408
.	કેટલાક	1	0.01020408
.	કોર્ટે	1	0.01020408
.	ખાસ	1	0.01020408
.	ખુબજ	1	0.01020408
.	ગાર્ગી	1	0.01020408
.	ગ્રો	1	0.01020408
.	જૂના	1	0.01020408
.	જોકે	1	0.01020408
.	જ્યારે	1	0.01020408
.	ડી	1	0.01020408
.	તમારા	1	0.01020408
.	તે	1	0.01020408
.	તેઓ	1	0.01020408
.	તેના	1	0.01020408
.	તેમજ	1	0.01020408
.	ત્યાં	1	0.01020408
.	ત્યારબાદ	1	0.01020408
.	દબાણના	1	0.01020408
.	દેશના	1	0.01020408
.	ધન	1	0.01020408
.	ધારાસભ્ય	1	0.01020408
.	નમૂનારૂપ	1	0.01020408
.	ના	1	0.01020408
.	પણ	1	0.01020408
.	પી	1	0.01020408
.	પુરાવા	1	0.01020408
.	પુરું	1	0.01020408
.	પ્રણવ	1	0.01020408
.	બદલામાં	1	0.01020408
.	બાળ	1	0.01020408
.	ભાજપના	1	0.01020408
.	મિશિગનના	1	0.01020408
.	મોરબીના	1	0.01020408
.	યાત્રા	1	0.01020408
.	યુનાઇટેડ	1	0.01020408
.	રપ	1	0.01020408
.	રર	1	0.01020408
.	રાજપીપળા	1	0.01020408
.	રાજસ્થાનના	1	0.01020408
.	રાજ્યના	1	0.01020408
.	રાષ્ટ્રપતિએ	1	0.01020408
.	રિજેક્શનના	1	0.01020408
.	વલણ	1	0.01020408
.	વસાવા	1	0.01020408
.	વા	1	0.01020408
.	વીણાએ	1	0.01020408
.	સંમત	1	0.01020408
.	સગર્ભાવસ્થામાં	1	0.01020408
.	સજ્જન	1	0.01020408
.	સદ્ગતનું	1	0.01020408
.	સરકાર	1	0.01020408
.	સહીત	1	0.01020408
.	સૌથી	1	0.01020408
.	હાઈકોર્ટના	1	0.01020408
.	હીટિંગ	1	0.01020408
.	હોટ	1	0.01020408
.	૧.	1	0.01020408
.	૧૦.	1	0.01020408
.	૧૫.	1	0.01020408
.	૭	1	0.01020408
.	૮.	1	0.01020408
...	આપણાં	1	0.50000000
...	ઉત્તર	1	0.50000000
10	વર્ષના	1	1.00000000
100	લોડ	1	1.00000000
2008	માં	1	1.00000000
23.	97	1	1.00000000
3	ડી	1	1.00000000
30,000	બાળકો	1	1.00000000
32,000	થી	1	1.00000000
359	.	1	1.00000000
48.	જેમના	1	1.00000000
55,040	હતો	1	1.00000000
80	દર્દીઓમાં	1	1.00000000
83,000	ડોલરની	1	1.00000000
97	ડોલર	1	1.00000000
?	.	1	1.00000000
Deep@Gmi.com	,	1	1.00000000
https://hello.com	તેવાં	1	1.00000000
અંકલેશ્વર	આવી	1	1.00000000
અંતે	કોઈ	1	1.00000000
અંદર	આત્મવિશ્વાસનો	1	0.50000000
અંદર	એવી	1	0.50000000
અગવડતાને	કારણે	1	1.00000000
અગ્રવાલને	પકડવા	1	1.00000000
અગ્રવાલે	ખેડુતોને	1	1.00000000
અટકે	કરશે	1	1.00000000
અઠવાડિયાના	અંતે	1	1.00000000
અઠવાડિયામાં	એક	1	1.00000000
અઠવાડિયે	ખર્ચો	1	1.00000000
અથવા	કલાક	1	1.00000000
અધ્યક્ષ	રાહુલ	1	1.00000000
અનરજીસ્ટર્ડ	પર્સન	1	1.00000000
અનલોડ	છે	1	1.00000000
અનુભવ	નવો	1	1.00000000
અનુસાર	,	1	1.00000000
અને	અમદાવાદમાં	1	0.03571429
અને	આ	1	0.03571429
અને	એસ્ટેટ	1	0.03571429
અને	કહ્યું	1	0.03571429
અને	ખૂબ	1	0.03571429
અને	ગ્રેચ્યુઇટીમાં	1	0.03571429
અને	જૂના	1	0.03571429
અને	ડી	1	0.03571429
અને	તેઓ	1	0.03571429
અને	તેની	1	0.03571429
અને	તેને	1	0.03571429
અને	દાન	1	0.03571429
અને	નેતાઓને	1	0.03571429
અને	પર્સ	1	0.03571429
અને	પુખ્ત	1	0.03571429
અને	બે	1	0.03571429
અને	મેઘાલયમાં	1	0.03571429
અને	રબારી	1	0.03571429
અને	રમુજી	1	0.03571429
અને	રાજ્યસભાના	1	0.03571429
અને	લોકો	1	0.03571429
અને	વજન	1	0.03571429
અને	વડોદરા	1	0.03571429
અને	વિરસિંહને	1	0.03571429
અને	વિશ્વના	1	0.03571429
અને	શું	1	0.03571429
અને	સમૃદ્ધ	1	0.03571429
અને	સારો	1	0.03571429
અનેક	વેધક	1	1.00000000
અન્ય	વેપારીઓને	1	1.00000000
અપરાધ	દ્રશ્ય	1	1.00000000
અપાયુ	હતુ	1	1.00000000
અભાવ	દેખાવા	1	1.00000000
અભિપ્રાય	લિધો	1	1.00000000
અમદાવાદ	તેમજ	1	1.00000000
અમદાવાદમાં	બૂટલેગર	1	1.00000000
અમને	આસપાસ	1	1.00000000
અમિતાભ	બચ્ચના	1	1.00000000
અમેરિકાની	વૈશ્વિક	1	1.00000000
અમેરિકામાં	32,000	1	1.00000000
અર્પણ	કર્યા	1	1.00000000
અલગ	અલગ	1	0.50000000
અલગ	ટીમો	1	0.50000000
અવલોકન	કર્યું	1	1.00000000
અવસાન	પામેલ	1	1.00000000
અવાજ	સુનાવણી	1	1.00000000
અવાઝ	ઉઠાવવો	1	1.00000000
અહીંયાં	આપણે	1	1.00000000
અહેમદ	પટેલ	1	1.00000000
આ	અઠવાડિયે	1	0.04761905
આ	આંકડો	1	0.04761905
આ	આરોપીને	1	0.04761905
આ	ઉદ્ઘાટન	1	0.04761905
આ	કિસ્સામાં	1	0.04761905
આ	ક્ષેત્રના	1	0.04761905
આ	ક્ષેત્રે	1	0.04761905
આ	ખાસ	1	0.04761905
આ	જાદુઈ	1	0.04761905
આ	ઠેકાઓ	1	0.04761905
આ	નિર્ણય	1	0.04761905
આ	બધી	1	0.04761905
આ	ભયના	1	0.04761905
આ	મુદ્દે	1	0.04761905
આ	સજ્જન	1	0.04761905
આ	સારા	1	0.04761905
આ	સિન્ડ્રોમ	1	0.04761905
આંકડો	માટે	1	1.00000000
આઇ	એચ	1	1.00000000
આઇટીપી	નું	1	1.00000000
આખરે	આ	1	0.50000000
આખરે	ત્રણ	1	0.50000000
આગ	ભરૂચથી	1	1.00000000
આગળ	યોનિમાર્ગ	1	1.00000000
આગામી	પાંચ	1	1.00000000
આણંદ	,	1	1.00000000
આત્મવિશ્વાસનો	અભાવ	1	1.00000000
આદરી	હતી	1	1.00000000
આદીવાસી	ખેડુતોને	1	1.00000000
આપ	તે	1	1.00000000
આપઘાત	કરી	1	1.00000000
આપણાં	શાસ્ત્રોમાં	1	1.00000000
આપણે	કઈ	1	1.00000000
આપનાં	પેરેન્ટ્સે	1	1.00000000
આપને	કહી	1	1.00000000
આપવા	માટે	1	1.00000000
આપવામાં	આવી	1	1.00000000
આપી	.	1	0.50000000
આપી	ન	1	0.50000000
આપીને	!	1	1.00000000
આપીશ	તેમ	1	1.00000000
આપ્યું	હતું	1	1.00000000
આબુથી	આવતો	1	1.00000000
આમ	,	1	0.50000000
આમ	આ	1	0.50000000
આરોપ	આ	1	1.00000000
આરોપી	કલ્પેશ	1	0.33333333
આરોપીને	મહારાષ્ટ્રથી	1	1.00000000
આવકને	નુકશાન	1	1.00000000
આવતો	દારૃનો	1	1.00000000
આવા	કપરા	1	1.00000000
આવી	પહોંચ્યાં	1	0.33333333
આવે	.	1	0.25000000
આવેલી	છે	1	1.00000000
આવ્યા	.	1	0.33333333
આવ્યો	છે	1	1.00000000
આશરા	ઉ	1	1.00000000
આશિર્વાદ	યાત્રા	1	1.00000000
આશીર્વાદ	યાત્રા	1	1.00000000
આસપાસ	મન	1	1.00000000
ઇચ્છતી	હતી	1	1.00000000
ઇન્ડસ્ટ્રીઝના	નામે	1	1.00000000
ઇન્સ્ટિટયૂટ	ડબ્લ્યૂઆરઆઇ	1	1.00000000
ઇન્સ્ટીટયૂટનું	લોકાર્પણ	1	1.00000000
ઇન્હેલેશન	ડીપીટી	1	1.00000000
ઈન્દોરના	એક	1	1.00000000
ઉ	.	1	1.00000000
ઉખાણાઓ	એક	1	0.50000000
ઉખાણાઓ	બાળકો	1	0.50000000
ઉઘરાવેલ	રૂા	1	1.00000000
ઉઠાવવો	પડશે	1	1.00000000
ઉઠ્યો	,	1	1.00000000
ઉતારવામાં	આવે	1	1.00000000
ઉત્તર	આમ	1	0.33333333
ઉત્તર	ગુજરાતમાં	1	0.33333333
ઉત્તર	પ્રદેશમાં	1	0.33333333
ઉત્પન્ન	થવા	1	1.00000000
ઉદાહરણ	તરીકે	1	1.00000000
ઉદ્ઘાટન	પ્રસંગે	1	1.00000000
ઉપયોગ	કરાયો	1	1.00000000
ઉપરાંત	મુસાફરી	1	1.00000000
ઉમળકાભેર	રહેતા	1	1.00000000
ઉષ્ણતા	બિંદુ	1	1.00000000
ઊંચા	જોખમ	1	1.00000000
એ	કાર્ય	1	0.25000000
એ	જણાવ્યું	1	0.25000000
એ	જોવું	1	0.25000000
એ	બીજા	1	0.25000000
એક	કપ	1	0.11111111
એક	નવી	1	0.11111111
એક	પોલીસ	1	0.11111111
એક	વખત	1	0.11111111
એક	વિકલ્પ	1	0.11111111
એક	વૃદ્ધ	1	0.11111111
એક	સંપત્તિ	1	0.11111111
એક	સ્વતંત્ર	1	0.11111111
એક	સ્વવેના	1	0.11111111
એકનું	મોત	1	1.00000000
એક્સચેન્જો	સાથે	1	1.00000000
એક્સ્ચેન્જર	પૂરી	1	1.00000000
એચ	જી	1	1.00000000
એટલી	સારી	1	1.00000000
એનર્જી	ક્ષેત્રમાં	1	1.00000000
એન્જીનીયર	તે	1	1.00000000
એન્ડ	હાર્ટ	1	1.00000000
એમ	અમેરિકાની	1	1.00000000
એમણે	તમારો	1	1.00000000
એલાન	પણ	1	1.00000000
એવી	લાગણી	1	1.00000000
એસ	પી	1	0.33333333
એસ્ટેટ	આપી	1	1.00000000
ઓપી	કોહલી	1	1.00000000
ઓફ	લેબર	1	1.00000000
કંડલા	પોર્ટ	1	1.00000000
કંપની	તેઓ	1	1.00000000
કઈ	રીતે	1	1.00000000
કન્ટેનર	પાછળ	1	1.00000000
કપ	સાથે	1	1.00000000
કપરા	સમયમાં	1	1.00000000
કરતા	ખળભળાટ	1	1.00000000
કરતાં	સ્વવેન	1	1.00000000
કરવા	માટે	1	1.00000000
કરવાની	માગણી	1	1.00000000
કરવાનું	છે	1	0.50000000
કરવાનું	મહત્ત્વ	1	0.50000000
કરવાનો	અનુભવ	1	1.00000000
કરવામાં	આવી	1	0.20000000
કરવામાં	આવે	1	0.20000000
કરવામાં	આવેલી	1	0.20000000
કરવું	તેના	1	1.00000000
કરશે	,	1	0.50000000
કરશે	.	1	0.50000000
કરાયો	હતો	1	1.00000000
કરાવેલ	નથી	1	1.00000000
કરી	લેતાં	1	0.33333333
કરીએ	છે	1	1.00000000
કરીને	ગામડાના	1	0.50000000
કરીને	ફરાર	1	0.50000000
કરે	.	1	0.50000000
કરે	છે	1	0.50000000
કરેલ	તથા	1	1.00000000
કરો	જે	1	1.00000000
કરોડ	રૃપીયાની	1	1.00000000
કરોડના	બોગસ	1	1.00000000
કરોડની	વેરાશાખ	1	0.50000000
કરોડની	સરકારની	1	0.50000000
કરોડો	રૂપિયાની	1	1.00000000
કરોડોનો	વેરો	1	1.00000000
કર્ક	મહિલા	1	1.00000000
કર્મચારીઓને	ડીએની	1	1.00000000
કર્યા	પછી	1	0.50000000
કર્યા	હતા	1	0.50000000
કર્યું	છે	1	0.16666667
કર્યું	તહું	1	0.16666667
કલાક	દીઠ	1	1.00000000
કલ્પેશ	અગ્રવાલને	1	0.50000000
કલ્પેશ	સુભાષ	1	0.50000000
કહી	ને	1	0.50000000
કહી	હોય	1	0.50000000
કહ્યુ	હતું	1	1.00000000
કહ્યું	કે	1	0.50000000
કહ્યું	જાદુ	1	0.50000000
કાગદડી	નજીક	1	1.00000000
કાન	સરળતાથી	1	1.00000000
કામ	એક	1	0.50000000
કામ	કરવાનો	1	0.50000000
કામની	તટસ્થ	1	1.00000000
કામો	માટે	1	1.00000000
કાયદાઓએ	તમામ	1	1.00000000
કારણ	કે	1	1.00000000
કારણે	ખેડુતોમા	1	0.25000000
કારણે	નહીં	1	0.25000000
કારમાં	આગ	1	1.00000000
કાર્ય	કરશે	1	1.00000000
કાર્યકરોએ	જન	1	1.00000000
કિસ્સામાં	,	1	1.00000000
કીફિર	પર	1	1.00000000
કુલ	રૂા	1	1.00000000
કે	,	1	0.09090909
કે	3	1	0.09090909
કે	ટ્વિટર	1	0.09090909
કે	નહીં	1	0.09090909
કે	પેટના	1	0.09090909
કે	યોગ્ય	1	0.09090909
કે	સીરિઝમાં	1	0.09090909
કેટલાક	જાતકો	1	1.00000000
કેદીઓને	ત્રણ	1	0.33333333
કેદીઓને	બાળગૃહમાંથી	1	0.33333333
કેદીઓને	મુક્ત	1	0.33333333
કેન્દ્રીય	કર્મચારીઓને	1	0.50000000
કેન્દ્રીય	મંત્રી	1	0.50000000
કેવી	રીતે	1	1.00000000
કેસ	નોંધવામાં	1	1.00000000
કૉલેજમાં	છેડતીનો	1	1.00000000
કોંગ્રેસ	અધ્યક્ષ	1	1.00000000
કોઈ	કંપની	1	0.33333333
કોઈ	નિવેદન	1	0.33333333
કોઈ	વાતને	1	0.33333333
કોરોના	વાયરસના	1	1.00000000
કોર્ટે	આ	1	1.00000000
કોહલી	અને	1	1.00000000
ક્યારેક	આપનાં	1	1.00000000
ક્યારેય	સારું	1	1.00000000
ક્રૂરતાનો	કેસ	1	1.00000000
ક્ષેત્રના	લોકોનો	1	1.00000000
ક્ષેત્રમાં	આગામી	1	1.00000000
ક્ષેત્રે	રોજગારીની	1	1.00000000
ખરીદવાનું	અને	1	1.00000000
ખરીદી	કર્યા	1	0.50000000
ખરીદી	મહિસાગર	1	0.50000000
ખરીદીઓનાં	વેચાણો	1	1.00000000
ખર્ચો	વધારે	1	1.00000000
ખળભળાટ	મચ્યો	1	1.00000000
ખવડાવી	,	1	1.00000000
ખાસ	કરીને	1	0.50000000
ખાસ	યુઝર્સને	1	0.50000000
ખુબજ	મુશ્કેલ	1	1.00000000
ખૂબ	જ	1	1.00000000
ખેંચે	છે	1	1.00000000
ખેડુતોને	રૃપીયા	1	0.50000000
ખેડુતોને	વધુ	1	0.50000000
ખેડુતોમા	ભારે	1	1.00000000
ખેડૂતો	ઉમળકાભેર	1	0.50000000
ખેડૂતો	પોતાની	1	0.50000000
ખેતીના	વિકલ્પરૂપે	1	1.00000000
ગઇ	છે	1	1.00000000
ગઈ	છે	1	1.00000000
ગમે	એ	1	1.00000000
ગયું	અને	1	1.00000000
ગયો	હતો	1	1.00000000
ગરીબ	આદીવાસી	1	1.00000000
ગરીબોને	ખેતીના	1	1.00000000
ગાંધી	દ્વારા	1	1.00000000
ગાંધીજીની	પ્રતિમાનું	1	0.50000000
ગાંધીજીની	પ્રતિમાને	1	0.50000000
ગાંધીનગર	અને	1	1.00000000
ગાડી	કન્ટેનર	1	1.00000000
ગામડાના	ગરીબોને	1	1.00000000
ગામની	પરિણીતાએ	1	1.00000000
ગાર્ગી	કૉલેજમાં	1	1.00000000
ગુ	કરે	1	1.00000000
ગુજરાતના	રાજ્યપાલ	1	1.00000000
ગુજરાતમાં	દારૃ	1	1.00000000
ગુટર	ગુ	1	1.00000000
ગુસ્સો	જોવા	1	1.00000000
ગોધરા	,	1	1.00000000
ગ્રાન્ટ	આપે	1	1.00000000
ગ્રેચ્યુઇટીમાં	પણ	1	1.00000000
ગ્રો	અને	1	1.00000000
ઘટાડવા	માટે	1	1.00000000
ઘણા	કરતાં	1	1.00000000
ઘણીબધી	ચર્ચા	1	1.00000000
ઘર	એક	1	1.00000000
ચકચાર	મચી	1	1.00000000
ચર્ચા	કરવામાં	1	1.00000000
ચા	અને	1	1.00000000
ચાર્મી	ઇન્ડસ્ટ્રીઝના	1	1.00000000
ચિંતા	થઈ	1	1.00000000
ચુકવ્યા	વગર	1	1.00000000
ચેતનભાઇ	ના	1	1.00000000
ચોરી	વસ્તુઓ	1	1.00000000
છીએ	.	1	1.00000000
છે	?	1	0.01960784
છે	અને	1	0.01960784
છે	ઘણા	1	0.01960784
છે	તો	1	0.01960784
છે	વેરાવળ	1	0.01960784
છેડતીનો	મામલો	1	1.00000000
છેલ્લા	10	1	1.00000000
છો	જે	1	1.00000000
છોડવાના	સંકેત	1	1.00000000
જ	અવાઝ	1	0.33333333
જ	મેદસ્વી	1	0.33333333
જ	વર્ષે	1	0.33333333
જઈ	બંને	1	1.00000000
જણાવો	.	1	1.00000000
જણાવ્યું	કે	1	0.33333333
જણાવ્યું	છે	1	0.33333333
જણાવ્યું	હતું	1	0.33333333
જણાશે	.	1	1.00000000
જતા	એકનું	1	0.50000000
જતા	કેવી	1	0.50000000
જથ્થો	ખરીદી	1	0.33333333
જથ્થો	ઠલવાય	1	0.33333333
જથ્થો	સાંચોર	1	0.33333333
જન	આશિર્વાદ	1	0.50000000
જન	આશીર્વાદ	1	0.50000000
જનતાએ	જ	1	1.00000000
જનાદેશનો	સ્વાગત	1	1.00000000
જમા	કરાવેલ	1	1.00000000
જમીન	મુક્ત	1	1.00000000
જરૂર	છે	1	0.50000000
જરૂર	શુ	1	0.50000000
જવાની	જરૂર	1	1.00000000
જાડેજાના	માર્ગદર્શન	1	1.00000000
જાતકો	માટે	1	1.00000000
જાદુ	અને	1	1.00000000
જાદુઈ	ભેટ	1	1.00000000
જિલ્લામાં	ઠાલવે	1	1.00000000
જી	ભરવાડ	1	1.00000000
જીઇબી	એન્જીનીયર	1	1.00000000
જીતીવા	માટે	1	1.00000000
જીલ્લા	એલ	1	0.50000000
જીલ્લા	પોલીસે	1	0.50000000
જીલ્લાના	ડેડીયાપાડા	1	1.00000000
જૂથ	સ્થાપિત	1	1.00000000
જૂન	મહિનામાં	1	1.00000000
જે	100	1	0.25000000
જે	અગવડતાને	1	0.25000000
જે	ક્યારેક	1	0.25000000
જે	શક્યત	1	0.25000000
જેટલી	અલગ	1	1.00000000
જેના	કારણે	1	1.00000000
જેને	પગલે	1	0.50000000
જેને	વ્યાપક	1	0.50000000
જેમના	કાન	1	1.00000000
જોઈ	રહ્યું	1	0.50000000
જોઈ	શકાય	1	0.50000000
જોઈએ	.	1	1.00000000
જોકે	,	1	1.00000000
જોખમ	પર	1	1.00000000
જોવા	મળે	1	0.33333333
જોવા	મળ્યો	1	0.33333333
જોવા	માટે	1	0.33333333
જોવામાં	વ્યસ્ત	1	1.00000000
જોવું	રસપ્રદ	1	1.00000000
જ્યાં	તેમણે	1	1.00000000
જ્યાંથી	અમદાવાદ	1	1.00000000
જ્યારે	આપ	1	0.50000000
જ્યારે	મોરારીબાપુએ	1	0.50000000
જ્યોતિરાદિત્ય	સિંધિયાની	1	1.00000000
ઝડપથી	વૃદ્ધિ	1	1.00000000
ઝડપી	પાડયો	1	0.33333333
ઝાલોદના	બૂટલેગરો	1	1.00000000
ટાઇગર	સેના	1	1.00000000
ટાળી	દેવી	1	1.00000000
ટીમો	બનાવી	1	1.00000000
ટીમોએ	તપાસ	1	1.00000000
ટેક્સ	વધારવાની	1	1.00000000
ટેલીફોનીક	બેસણુ	1	1.00000000
ટ્રસ્ટ	ની	1	1.00000000
ટ્વિટર	કોઈ	1	0.33333333
ટ્વિટર	છોડવાના	1	0.33333333
ટ્વિટર	પોતાના	1	0.33333333
ઠંડીથી	ઇન્હેલેશન	1	1.00000000
ઠલવાય	છે	1	1.00000000
ઠાલવે	છે	1	1.00000000
ઠેકાઓ	પરથી	1	1.00000000
ડબ્લ્યૂઆરઆઇ	એ	1	1.00000000
ડી	ફિલ્મમાં	1	0.25000000
ડી	વાય	1	0.25000000
ડીએની	ઉપરાંત	1	1.00000000
ડીપીટી	કંડલા	1	1.00000000
ડેડીયાપાડા	સાગબારા	1	1.00000000
ડોલર	હતો	1	1.00000000
ડોલરની	વચ્ચેનો	1	1.00000000
ડ્રાઇવરોને	તેની	1	1.00000000
ડ્રોપની	ભરપાઈ	1	1.00000000
ઢાંઢણી	ગામની	1	1.00000000
તક	મળી	1	1.00000000
તકતીનું	અનાવરણ	1	1.00000000
તકો	સર્જાવાની	1	1.00000000
તઘલખી	નિર્ણયો	1	1.00000000
તટસ્થ	તપાસ	1	1.00000000
તથા	અનરજીસ્ટર્ડ	1	1.00000000
તપાસ	આદરી	1	0.50000000
તપાસ	થાય	1	0.50000000
તપાસકર્તાઓ	માટેનો	1	1.00000000
તબક્કા	છે	1	1.00000000
તબદીલ	કરેલ	1	1.00000000
તમને	એક	1	1.00000000
તમામ	ખેડૂતો	1	0.50000000
તમામ	લાઇસન્સવાળા	1	0.50000000
તમારા	પક્ષના	1	0.50000000
તમારા	માટે	1	0.50000000
તમારો	અભિપ્રાય	1	1.00000000
તમાશો	જોવામાં	1	1.00000000
તરફ	આ	1	1.00000000
તરીકે	,	1	1.00000000
તરુણો	એક	1	1.00000000
તહું	.	1	1.00000000
તાલીમ	!	1	1.00000000
તુવેરો	ખરીદી	1	1.00000000
તે	જ	1	0.16666667
તે	પહેલાં	1	0.16666667
તે	વલણ	1	0.16666667
તે	વાતો	1	0.16666667
તે	સારું	1	0.16666667
તે	હીરેશનભાઇ	1	0.16666667
તેઓ	એટલી	1	0.14285714
તેઓ	ગમે	1	0.14285714
તેઓ	તમામ	1	0.14285714
તેઓ	તેને	1	0.14285714
તેઓ	મેમરી	1	0.14285714
તેઓ	સંબંધિત	1	0.14285714
તેઓ	હરાવ્યું	1	0.14285714
તેના	બેગ	1	0.33333333
તેના	વિશે	1	0.33333333
તેના	સુધી	1	0.33333333
તેનાં	પ્રેમી	1	1.00000000
તેની	પત્ની	1	0.33333333
તેની	રાજ્ય	1	0.33333333
તેની	સાથે	1	0.33333333
તેને	જોવા	1	0.25000000
તેને	માટે	1	0.25000000
તેને	સારવાર	1	0.25000000
તેને	હરાવ્યું	1	0.25000000
તેમ	કહી	1	1.00000000
તેમજ	ઉત્તર	1	0.16666667
તેમજ	જીલ્લા	1	0.16666667
તેમજ	ઝાલોદના	1	0.16666667
તેમજ	તેમની	1	0.16666667
તેમજ	ત્રણ	1	0.16666667
તેમજ	પાલનપુર	1	0.16666667
તેમણે	કહ્યું	1	0.16666667
તેમણે	કુલ	1	0.16666667
તેમણે	તે	1	0.16666667
તેમણે	તેમને	1	0.16666667
તેમણે	વચન	1	0.16666667
તેમણે	સરદાર	1	0.16666667
તેમના	વજન	1	1.00000000
તેમની	ટીમોએ	1	0.33333333
તેમને	જણાવ્યું	1	0.50000000
તેમને	મુલાકાત	1	0.50000000
તેમાં	એ	1	1.00000000
તેવાં	પ્રાણીઓનાં	1	1.00000000
તો	તમાશો	1	0.33333333
તો	પછી	1	0.33333333
તો	સાચી	1	0.33333333
ત્યાં	ઉતારવામાં	1	0.50000000
ત્યાં	તેને	1	0.50000000
ત્યારબાદ	હોસ્પિટલનું	1	1.00000000
ત્યારે	બીજી	1	1.00000000
ત્રણ	દિવસ	1	0.33333333
ત્રણ	રાજ્યોમાં	1	0.33333333
ત્રણ	વર્ષ	1	0.33333333
ત્રિપુરા	,	1	1.00000000
થઇ	ગયો	1	1.00000000
થઈ	ગઈ	1	0.25000000
થઈ	મહેસાણામાં	1	0.25000000
થઈ	શકે	1	0.25000000
થઈ	હિંમતનગર	1	0.25000000
થયેલ	છે	1	1.00000000
થવા	લાગે	1	1.00000000
થવાનો	છે	1	1.00000000
થાય	છે	1	0.50000000
થાય	તો	1	0.50000000
થી	83,000	1	0.25000000
થી	ફેલો	1	0.25000000
થી	૬	1	0.25000000
થી	૮	1	0.25000000
દબાણના	ડ્રોપની	1	1.00000000
દરમિયાન	...	1	0.50000000
દરમિયાન	ઈન્દોરના	1	0.50000000
દરોમાં	પરિણમી	1	1.00000000
દર્દીઓમાં	આ	1	1.00000000
