w1	w2	w3	count	gt_prob
Africa	in	November	2	0.00016281
Assam	in	the	2	0.00016281
Bangladesh	in	the	2	0.00016281
CSK	to	its	2	0.00016281
CSK	to	the	2	0.00016281
Champions	Trophy,	India	2	0.00016281
Cricket	Hall	of	2	0.00016281
Cricket	World	Cup	2	0.00016281
Cricket	World	Cup,	2	0.00016281
Cricketer	of	the	2	0.00016281
Dhoni	holds	an	2	0.00016281
Dhoni	holds	the	2	0.00016281
Dhoni	invested	in	2	0.00016281
Dhoni	is	a	2	0.00016281
Dhoni	is	an	2	0.00016281
Dhoni	led	CSK	2	0.00016281
Dhoni	led	the	2	0.00016281
Dhoni	played	in	2	0.00016281
Dhoni	scored	a	2	0.00016281
Dhoni	stepped	down	2	0.00016281
Dhoni	was	picked	2	0.00016281
He	has	also	2	0.00016281
ICC	Champions	Trophy	2	0.00016281
ICC	Champions	Trophy,	2	0.00016281
ICC	Cricket	Hall	2	0.00016281
ICC	Men's	ODI	2	0.00016281
In	2019,	Dhoni	2	0.00016281
In	the	second	2	0.00016281
India	finished	as	2	0.00016281
India	lost	to	2	0.00016281
Indian	Army	in	2	0.00016281
Indian	Territorial	Army	2	0.00016281
Indian	captain	to	2	0.00016281
Indian	squad	for	2	0.00016281
Lanka	in	the	2	0.00016281
Lieutenant	colonel	in	2	0.00016281
ODI	Team	of	2	0.00016281
ODI	in	the	2	0.00016281
ODI	team	of	2	0.00016281
Singh	Dhoni	at	2	0.00016281
South	Africa	and	2	0.00016281
Tournament'	by	the	2	0.00016281
Under	his	captaincy,	2	0.00016281
West	Indies	in	2	0.00016281
a	bilateral	series	2	0.00016281
a	franchise	of	2	0.00016281
a	losing	cause.	2	0.00016281
a	strike	rate	2	0.00016281
against	Assam	in	2	0.00016281
against	England.	Dhoni	2	0.00016281
against	New	Zealand.	2	0.00016281
against	Sri	Lanka	2	0.00016281
against	West	Indies	2	0.00016281
all	the	matches	2	0.00016281
an	honorary	rank	2	0.00016281
and	Sri	Lanka	2	0.00016281
and	final	ODI	2	0.00016281
and	he	was	2	0.00016281
and	in	the	2	0.00016281
and	wicket-keeper	of	2	0.00016281
and	wicket-keeper)	ICC	2	0.00016281
announced	his	retirement	2	0.00016281
as	captain	and	2	0.00016281
as	well	as	2	0.00016281
at	Chennai.	Dhoni	2	0.00016281
auction	for	the	2	0.00016281
becoming	the	fourth	2	0.00016281
both	the	series.	2	0.00016281
by	any	wicket-keeper	2	0.00016281
by	the	ICC.	2	0.00016281
by	the	Indian	2	0.00016281
captain	and	wicket-keeper	2	0.00016281
century	in	the	2	0.00016281
civilian	award	Padma	2	0.00016281
colonel	in	the	2	0.00016281
cricket	team	in	2	0.00016281
debut	for	Bihar	2	0.00016281
debut	in	the	2	0.00016281
decade:	2011–2020	(captain	2	0.00016281
dismissals	in	an	2	0.00016281
do	so.	In	2	0.00016281
earlier	record	for	2	0.00016281
first	time	in	2	0.00016281
first	wicket-keeper	to	2	0.00016281
for	Bihar	against	2	0.00016281
for	a	duck.	2	0.00016281
for	the	2007	2	0.00016281
for	the	India	2	0.00016281
for	the	first	2	0.00016281
for	the	highest	2	0.00016281
for	the	inaugural	2	0.00016281
franchise	of	the	2	0.00016281
from	three	innings	2	0.00016281
game	of	the	2	0.00016281
grade	contract	by	2	0.00016281
group	stage	after	2	0.00016281
half-century	in	the	2	0.00016281
he	was	picked	2	0.00016281
highest	civilian	award	2	0.00016281
him	by	the	2	0.00016281
his	captaincy,	CSK	2	0.00016281
his	retirement	from	2	0.00016281
holds	an	honorary	2	0.00016281
honorary	rank	of	2	0.00016281
in	2010	and	2	0.00016281
in	2011.	In	2	0.00016281
in	5	matches.	2	0.00016281
in	Australia.	In	2	0.00016281
in	ODIs	in	2	0.00016281
in	Ranchi,	Dhoni	2	0.00016281
in	South	Africa	2	0.00016281
in	a	losing	2	0.00016281
in	an	innings	2	0.00016281
in	five	ODI	2	0.00016281
in	his	international	2	0.00016281
in	limited	overs	2	0.00016281
in	six	innings	2	0.00016281
in	the	1999–2000	2	0.00016281
in	the	ODI	2	0.00016281
in	the	Parachute	2	0.00016281
in	the	final	2	0.00016281
in	the	final.	2	0.00016281
in	the	home	2	0.00016281
in	the	series	2	0.00016281
in	the	tournament	2	0.00016281
in	the	tournament.	2	0.00016281
in	which	India	2	0.00016281
is	one	of	2	0.00016281
known	for	his	2	0.00016281
made	his	debut	2	0.00016281
made	it	to	2	0.00016281
match	for	scoring	2	0.00016281
matches	at	an	2	0.00016281
matches.	In	the	2	0.00016281
most	dismissals	in	2	0.00016281
named	as	captain	2	0.00016281
of	Chennai	Super	2	0.00016281
of	Lieutenant	colonel	2	0.00016281
of	all	time.	2	0.00016281
of	the	match	2	0.00016281
out	for	a	2	0.00016281
out	of	the	2	0.00016281
part	of	the	2	0.00016281
played	for	Bihar	2	0.00016281
presented	to	him	2	0.00016281
rank	of	Lieutenant	2	0.00016281
record	for	most	2	0.00016281
represented	East	Zone	2	0.00016281
runs	and	led	2	0.00016281
runs	from	three	2	0.00016281
runs	in	5	2	0.00016281
runs	in	six	2	0.00016281
runs	in	two	2	0.00016281
scored	more	than	2	0.00016281
season	of	the	2	0.00016281
seasons	for	the	2	0.00016281
series	against	West	2	0.00016281
six	innings	at	2	0.00016281
stage	match	against	2	0.00016281
strike	rate	of	2	0.00016281
team	for	the	2	0.00016281
that	won	the	2	0.00016281
the	2011	Cricket	2	0.00016281
the	2013	ICC	2	0.00016281
the	East	Zone	2	0.00016281
the	ICC	ODI	2	0.00016281
the	India	A	2	0.00016281
the	Indian	Army	2	0.00016281
the	Indian	squad	2	0.00016281
the	ODI	team	2	0.00016281
the	Parachute	Regiment	2	0.00016281
the	Tournament'	by	2	0.00016281
the	Year:	2011	2	0.00016281
the	auction	for	2	0.00016281
the	first	time	2	0.00016281
the	first	wicket-keeper	2	0.00016281
the	fourth	Indian	2	0.00016281
the	match	against	2	0.00016281
the	match	for	2	0.00016281
the	most	dismissals	2	0.00016281
the	most	successful	2	0.00016281
the	only	captain	2	0.00016281
the	second	test	2	0.00016281
the	series	in	2	0.00016281
the	series	with	2	0.00016281
the	series,	he	2	0.00016281
the	series.	Dhoni	2	0.00016281
the	squad	for	2	0.00016281
the	third	ODI	2	0.00016281
thousand	runs	in	2	0.00016281
to	become	a	2	0.00016281
to	do	so.	2	0.00016281
to	its	second	2	0.00016281
tour	of	India	2	0.00016281
was	appointed	as	2	0.00016281
was	awarded	an	2	0.00016281
was	born	on	2	0.00016281
was	part	of	2	0.00016281
was	presented	to	2	0.00016281
where	he	scored	2	0.00016281
where	he	started	2	0.00016281
won	the	2010	2	0.00016281
"B"	grade	contract	1	0.00002208
"Captain	cool".	Personal	1	0.00002208
"Dhauni".	The	spelling	1	0.00002208
"Dhoni"	emerged	due	1	0.00002208
